Year   Moose  Wolves
 1959  745   20
 1960  797   24
 1961  836   32
 1962  913   32
 1963  884   38
 1964  916   37
 1965  974   36
 1966 1062   34
 1967 1098   34
 1968 1205   39
 1969 1277   36
 1970 1296   35
 1971 1355   29
 1972 1521   24
 1973 1710   28
 1974 1864   26
 1975 2058   27
 1976 2331   28
 1977 2280   28
 1978 1997   29
 1979 1863   29
 1980 1646   30
 1981 1378   28
 1982 1135   28
 1983  992   26
 1984 1133   17
 1985 1310   15
 1986 1491   15
 1987 1675   15
 1988 1824   11
 1989 2112   11
 1990 2060    8
 1991 1846    7
 1992 1722    7
 1993 1601    6
 1994 1441    6
 1995 1489    5
 1996 1933    6
 1997 2322    9
 1998 2121   10
 1999 1939    9
 2000 1865    9
 2001 1848    9
 2002 1839    8
 2003 1646    8
 2004 1702   10
 2005 2100    9
 2006 2538    8
 2007 2269    8
 2008 2081    6
 2009 2031    4
 2010 1998    3
 2011 2014    2
 2012 1771    2
 2013 1874    3
 2014 2396    3
 2015 2246    3
 2016 2007    3
 2017 1914    3
 2018 1864    2
