Year   Moose  Wolves
 1959  846   20
 1960  917   20
 1961 1014   23
 1962 1112   26
 1963 1218   30
 1964 1278   33
 1965 1438   33
 1966 1513   33
 1967 1637   32
 1968 1779   36
 1969 2029   35
 1970 2276   37
 1971 2192   35
 1972 1901   31
 1973 1784   34
 1974 1583   29
 1975 1308   25
 1976 1048   23
 1977  903   20
 1978 1036   17
 1979 1186   16
 1980 1345   13
 1981 1540   11
 1982 1758   13
 1983 2015   12
 1984 2347   11
 1985 2286   11
 1986 2062   10
 1987 1919   10
 1988 1779    9
 1989 1587   10
 1990 1410    9
 1991 1433    9
 1992 1770   10
 1993 2142    9
 1994 1979    5
 1995 1776    4
 1996 1751    3
 1997 1781    3
 1998 1771    2
 1999 1862    2
 2000 2433    3
 2001 2172    3
 2002 1915    3
 2003 1825    1
 2004 1804    1
 2005 1831    1
 2006 1849    1
 2007 1951    1
 2008 2546    1
 2009 2335    1
 2010 2099    1
 2011 2013    0
 2012 2005    0
 2013 2012    0
 2014 2010    0
 2015 2143    0
 2016 1973    0
 2017 1791    0
 2018 1703    0
