Year   Moose  Wolves
 1959  723   20
 1960  767   18
 1961  798   17
 1962  828   16
 1963  915   17
 1964  990   18
 1965 1102   23
 1966 1207   19
 1967 1346   18
 1968 1547   20
 1969 1807   20
 1970 2069   24
 1971 2334   23
 1972 2202   22
 1973 2014   24
 1974 1881   25
 1975 1710   22
 1976 1445   19
 1977 1223   21
 1978 1172   21
 1979 1399   17
 1980 1631   16
 1981 1830   15
 1982 2094   14
 1983 2390   14
 1984 2304   12
 1985 2183   11
 1986 2032   11
 1987 1839    9
 1988 1684    8
 1989 1516    6
 1990 1315    5
 1991 1347    5
 1992 1700    3
 1993 2094    2
 1994 2474    1
 1995 2335    1
 1996 2164    1
 1997 2143    0
 1998 2178    0
 1999 2052    0
 2000 1853    0
 2001 1635    0
 2002 1359    0
 2003 1239    0
 2004 1302    0
 2005 1693    0
 2006 2107    0
 2007 1997    0
 2008 1829    0
 2009 1763    0
 2010 1765    0
 2011 1802    0
 2012 1912    0
 2013 2481    0
 2014 2291    0
 2015 2062    0
 2016 1962    0
 2017 1978    0
 2018 1989    0
