Year   Moose  Wolves
 1959  652   20
 1960  688   21
 1961  690   26
 1962  713   27
 1963  756   27
 1964  756   30
 1965  748   37
 1966  691   35
 1967  687   32
 1968  588   29
 1969  552   28
 1970  476   26
 1971  464   21
 1972  443   21
 1973  372   19
 1974  316   15
 1975  287   14
 1976  247   11
 1977  228    9
 1978  224    8
 1979  235    7
 1980  253    7
 1981  268   10
 1982  261    8
 1983  269    6
 1984  296    6
 1985  326    5
 1986  365    5
 1987  427    5
 1988  484    3
 1989  543    3
 1990  641    3
 1991  748    3
 1992  877    1
 1993 1051    1
 1994 1253    0
 1995 1508    0
 1996 1827    0
 1997 2203    0
 1998 2317    0
 1999 2177    0
 2000 2102    0
 2001 2081    0
 2002 1960    0
 2003 1800    0
 2004 1577    0
 2005 1305    0
 2006 1389    0
 2007 1804    0
 2008 2258    0
 2009 2109    0
 2010 1950    0
 2011 1894    0
 2012 1859    0
 2013 1896    0
 2014 1729    0
 2015 1825    0
 2016 2323    0
 2017 2233    0
 2018 1991    0
