Year   Moose  Wolves
 1959  681   20
 1960  711   21
 1961  748   23
 1962  750   25
 1963  760   25
 1964  743   24
 1965  763   27
 1966  818   23
 1967  875   23
 1968  926   20
 1969  993   16
 1970 1135   12
 1971 1310   12
 1972 1516   11
 1973 1738   10
 1974 2036    7
 1975 2451    6
 1976 2449    5
 1977 2268    4
 1978 2141    4
 1979 2017    4
 1980 1929    2
 1981 1742    2
 1982 1504    2
 1983 1204    2
 1984 1246    2
 1985 1604    1
 1986 1965    1
 1987 2318    1
 1988 2264    1
 1989 2118    1
 1990 2094    0
 1991 2172    0
 1992 2098    0
 1993 1912    0
 1994 1735    0
 1995 1449    0
 1996 1349    0
 1997 1439    0
 1998 1888    0
 1999 2312    0
 2000 2249    0
 2001 2043    0
 2002 1966    0
 2003 1968    0
 2004 1934    0
 2005 1746    0
 2006 1834    0
 2007 2381    0
 2008 2206    0
 2009 2001    0
 2010 1918    0
 2011 1912    0
 2012 1874    0
 2013 1892    0
 2014 2001    0
 2015 2592    0
 2016 2419    0
 2017 2187    0
 2018 2102    0
