Year   Moose  Wolves
 1959  652   20
 1960  666   20
 1961  701   17
 1962  750   21
 1963  767   21
 1964  803   27
 1965  816   28
 1966  863   27
 1967  905   24
 1968  955   24
 1969 1050   22
 1970 1192   27
 1971 1252   26
 1972 1388   25
 1973 1592   23
 1974 1751   23
 1975 1924   17
 1976 2260   16
 1977 2138   16
 1978 1925   13
 1979 1774   12
 1980 1646   11
 1981 1547    9
 1982 1394    7
 1983 1395    8
 1984 1760    8
 1985 2188    5
 1986 2003    3
 1987 1850    3
 1988 1785    2
 1989 1788    2
 1990 1803    2
 1991 1894    2
 1992 2458    2
 1993 2244    2
 1994 1990    1
 1995 1928    0
 1996 1916    0
 1997 1933    0
 1998 1941    0
 1999 2076    0
 2000 2716    0
 2001 2513    0
 2002 2270    0
 2003 2183    0
 2004 2198    0
 2005 2198    0
 2006 2223    0
 2007 1915    0
 2008 1483    0
 2009 1321    0
 2010 1238    0
 2011 1160    0
 2012 1232    0
 2013 1602    0
 2014 1990    0
 2015 2352    0
 2016 2299    0
 2017 2172    0
 2018 2135    0
