Year   Moose  Wolves
 1959  700   20
 1960  766   20
 1961  741   24
 1962  731   24
 1963  730   24
 1964  760   24
 1965  757   21
 1966  823   22
 1967  806   20
 1968  815   20
 1969  852   24
 1970  909   23
 1971 1006   21
 1972 1042   19
 1973 1160   18
 1974 1231   17
 1975 1352   19
 1976 1444   25
 1977 1640   27
 1978 1777   25
 1979 1986   24
 1980 2280   28
 1981 2175   23
 1982 1953   21
 1983 1812   16
 1984 1663   15
 1985 1526   15
 1986 1280   13
 1987 1228   10
 1988 1502    8
 1989 1790    6
 1990 2040    6
 1991 2337    5
 1992 2224    3
 1993 2108    2
 1994 2120    2
 1995 2013    2
 1996 1877    1
 1997 1724    1
 1998 1548    1
 1999 1310    1
 2000 1395    1
 2001 1822    0
 2002 2275    0
 2003 2202    0
 2004 2015    0
 2005 1919    0
 2006 1912    0
 2007 1933    0
 2008 1792    0
 2009 1885    0
 2010 2483    0
 2011 2400    0
 2012 2146    0
 2013 2064    0
 2014 2042    0
 2015 2061    0
 2016 2075    0
 2017 1791    0
 2018 1873    0
