Year   Moose  Wolves
 1959  642   20
 1960  639   20
 1961  684   22
 1962  730   22
 1963  752   23
 1964  765   21
 1965  825   20
 1966  866   21
 1967  971   19
 1968 1103   16
 1969 1225   12
 1970 1389   10
 1971 1625    9
 1972 1899    8
 1973 2218    7
 1974 2162    8
 1975 2012   11
 1976 1921   12
 1977 1779    9
 1978 1675    8
 1979 1518   11
 1980 1533   12
 1981 1916   14
 1982 2321   15
 1983 2069   16
 1984 1849   15
 1985 1755   19
 1986 1716   17
 1987 1626   17
 1988 1548   19
 1989 1863   16
 1990 2250   14
 1991 1974   16
 1992 1778   18
 1993 1687   16
 1994 1649   17
 1995 1598   17
 1996 1507   15
 1997 1883   13
 1998 2228   14
 1999 1959   11
 2000 1750   11
 2001 1708   11
 2002 1689   10
 2003 1705   11
 2004 1715    9
 2005 2123    7
 2006 1793    6
 2007 1562    9
 2008 1494    8
 2009 1440    6
 2010 1418    5
 2011 1500    4
 2012 1940    4
 2013 2407    4
 2014 2151    3
 2015 1978    2
 2016 1965    1
 2017 2015    1
 2018 2041    1
