Year   Moose  Wolves
 1959  612   20
 1960  639   17
 1961  629   17
 1962  661   17
 1963  702   20
 1964  724   18
 1965  793   18
 1966  872   20
 1967  963   18
 1968 1083   14
 1969 1231   14
 1970 1407   16
 1971 1587   15
 1972 1779   15
 1973 2033   14
 1974 2369   14
 1975 2299   13
 1976 2126   13
 1977 1973   12
 1978 1804   15
 1979 1624   15
 1980 1411   14
 1981 1154   13
 1982 1101   15
 1983 1314   14
 1984 1519   11
 1985 1781   13
 1986 2030   12
 1987 2311   10
 1988 2239    9
 1989 2168   10
 1990 2054   10
 1991 1809    9
 1992 1640    7
 1993 1433    6
 1994 1216    6
 1995 1231    6
 1996 1560    4
 1997 1881    3
 1998 2196    3
 1999 2029    2
 2000 1880    2
 2001 1876    1
 2002 1903    1
 2003 1776    1
 2004 1872    0
 2005 2446    0
 2006 2250    0
 2007 2025    0
 2008 1973    0
 2009 1969    0
 2010 1953    0
 2011 1945    0
 2012 2089    0
 2013 2756    0
 2014 2558    0
 2015 2335    0
 2016 2232    0
 2017 2234    0
 2018 2221    0
