Year   Moose  Wolves
 1959  731   20
 1960  741   20
 1961  760   18
 1962  761   20
 1963  808   22
 1964  819   23
 1965  864   22
 1966  877   23
 1967  928   24
 1968 1010   25
 1969 1116   26
 1970 1234   30
 1971 1329   32
 1972 1369   34
 1973 1467   35
 1974 1578   32
 1975 1724   30
 1976 1953   29
 1977 2154   30
 1978 2030   29
 1979 1750   30
 1980 1598   31
 1981 1349   30
 1982 1156   26
 1983  939   21
 1984 1077   17
 1985 1195   20
 1986 1324   20
 1987 1476   19
 1988 1660   20
 1989 1849   19
 1990 2172   14
 1991 2122   12
 1992 1894   12
 1993 1764   10
 1994 1616    6
 1995 1524    6
 1996 1393    6
 1997 1466    6
 1998 1872    6
 1999 2268    5
 2000 2170    6
 2001 1986    8
 2002 1941    8
 2003 1928    6
 2004 1889    6
 2005 1717    8
 2006 1774    9
 2007 2277    9
 2008 2073    9
 2009 1826    8
 2010 1734    7
 2011 1693    7
 2012 1615    5
 2013 1729    5
 2014 2210    4
 2015 1958    4
 2016 1707    3
 2017 1651    3
 2018 1638    4
