Year   Moose  Wolves
 1959  673   20
 1960  703   21
 1961  688   22
 1962  666   25
 1963  673   30
 1964  601   32
 1965  591   26
 1966  605   25
 1967  580   25
 1968  519   26
 1969  476   26
 1970  506   23
 1971  536   21
 1972  558   23
 1973  562   19
 1974  614   18
 1975  647   19
 1976  713   20
 1977  777   21
 1978  877   18
 1979  950   16
 1980 1054   13
 1981 1236   11
 1982 1441   10
 1983 1654    9
 1984 1979   10
 1985 2322   11
 1986 2368    9
 1987 2162    7
 1988 2092    6
 1989 2004    8
 1990 1888    8
 1991 1671    7
 1992 1461    8
 1993 1453    8
 1994 1826    7
 1995 2182    9
 1996 1979    8
 1997 1759    7
 1998 1689    8
 1999 1619   10
 2000 1618    9
 2001 1638    9
 2002 2035   11
 2003 2395   11
 2004 2126   10
 2005 1919   12
 2006 1833   11
 2007 1766    9
 2008 1707   10
 2009 1475   11
 2010 1495   12
 2011 1925    9
 2012 2318    8
 2013 2111    7
 2014 1904    5
 2015 1878    6
 2016 1871    7
 2017 1854    5
 2018 1632    5
