Year   Moose  Wolves
 1959  655   20
 1960  757   21
 1961  805   29
 1962  813   30
 1963  905   32
 1964  974   35
 1965  972   34
 1966 1039   35
 1967 1069   35
 1968 1152   38
 1969 1241   42
 1970 1272   44
 1971 1378   43
 1972 1553   34
 1973 1818   34
 1974 2064   36
 1975 2365   36
 1976 2257   35
 1977 2081   35
 1978 1921   37
 1979 1678   33
 1980 1375   27
 1981 1097   23
 1982  975   21
 1983 1116   19
 1984 1406   19
 1985 1643   14
 1986 1893   13
 1987 2137   11
 1988 2051    9
 1989 1943    7
 1990 1867    6
 1991 1736    6
 1992 1613    6
 1993 1723    7
 1994 2248    8
 1995 2194    5
 1996 2002    4
 1997 1908    4
 1998 1876    4
 1999 1857    4
 2000 1863    5
 2001 1987    6
 2002 2605    7
 2003 2469    9
 2004 2224    6
 2005 2132    5
 2006 2121    5
 2007 2120    5
 2008 2079    5
 2009 1828    5
 2010 1457    5
 2011 1270    5
 2012 1175    3
 2013 1247    0
 2014 1593    0
 2015 1970    0
 2016 2367    0
 2017 2326    0
 2018 2186    0
