Year   Moose  Wolves
 1959  754   20
 1960  831   17
 1961  861   17
 1962  931   21
 1963  996   24
 1964  996   23
 1965 1046   22
 1966 1095   25
 1967 1123   23
 1968 1133   21
 1969 1291   18
 1970 1420   20
 1971 1543   25
 1972 1687   27
 1973 1824   22
 1974 2046   21
 1975 2252   23
 1976 2167   24
 1977 1940   22
 1978 1762   20
 1979 1547   23
 1980 1341   22
 1981 1122   22
 1982  960   21
 1983 1017   22
 1984 1143   21
 1985 1225   23
 1986 1288   18
 1987 1426   16
 1988 1598   14
 1989 1801   13
 1990 2064   11
 1991 2400    9
 1992 2379    7
 1993 2145    5
 1994 2053    5
 1995 1967    4
 1996 1854    2
 1997 1699    1
 1998 1529    0
 1999 1609    0
 2000 2098    0
 2001 2618    0
 2002 2498    0
 2003 2291    0
 2004 2229    0
 2005 2216    0
 2006 2242    0
 2007 2027    0
 2008 1734    0
 2009 1432    0
 2010 1261    0
 2011 1169    0
 2012 1266    0
 2013 1652    0
 2014 2048    0
 2015 2417    0
 2016 2340    0
 2017 2199    0
 2018 2166    0
