Year   Moose  Wolves
 1959  647   20
 1960  724   19
 1961  723   17
 1962  759   19
 1963  770   20
 1964  770   25
 1965  754   30
 1966  717   30
 1967  667   26
 1968  622   24
 1969  624   22
 1970  607   21
 1971  614   17
 1972  612   20
 1973  594   21
 1974  603   18
 1975  647   17
 1976  663   13
 1977  761   13
 1978  859   13
 1979  941   14
 1980 1050   13
 1981 1185   11
 1982 1381   13
 1983 1624   12
 1984 1883    9
 1985 2227    6
 1986 2227    5
 1987 2082    3
 1988 2008    2
 1989 1942    3
 1990 1829    3
 1991 1672    3
 1992 1741    3
 1993 2290    3
 1994 2214    3
 1995 1982    3
 1996 1869    2
 1997 1837    1
 1998 1832    1
 1999 1852    1
 2000 1985    1
 2001 2586    0
 2002 2417    0
 2003 2229    0
 2004 2144    0
 2005 2145    0
 2006 2116    0
 2007 2114    0
 2008 1840    0
 2009 1466    0
 2010 1301    0
 2011 1213    0
 2012 1124    0
 2013 1182    0
 2014 1526    0
 2015 1904    0
 2016 2211    0
 2017 2106    0
 2018 1960    0
