Year   Moose  Wolves
 1959  721   20
 1960  735   20
 1961  716   20
 1962  745   21
 1963  788   22
 1964  800   21
 1965  835   21
 1966  927   18
 1967  993   14
 1968 1132   14
 1969 1242   12
 1970 1373   11
 1971 1594    9
 1972 1861    7
 1973 2195    5
 1974 2158    4
 1975 2015    3
 1976 1924    2
 1977 1866    1
 1978 1777    1
 1979 1653    1
 1980 1748    1
 1981 2299    1
 1982 2236    1
 1983 2037    1
 1984 1966    1
 1985 1944    0
 1986 1929    0
 1987 1950    0
 1988 2116    0
 1989 1952    0
 1990 1752    0
 1991 1665    0
 1992 1621    0
 1993 1597    0
 1994 1723    0
 1995 2253    0
 1996 2081    0
 1997 1877    0
 1998 1841    0
 1999 1848    0
 2000 1845    0
 2001 1967    0
 2002 2591    0
 2003 2351    0
 2004 2128    0
 2005 2062    0
 2006 2004    0
 2007 2004    0
 2008 2013    0
 2009 1725    0
 2010 1799    0
 2011 2314    0
 2012 2209    0
 2013 1995    0
 2014 1891    0
 2015 1867    0
 2016 1860    0
 2017 1843    0
 2018 1928    0
