Year   Moose  Wolves
 1959  637   20
 1960  680   21
 1961  742   23
 1962  730   25
 1963  737   25
 1964  802   25
 1965  848   20
 1966  920   18
 1967  991   21
 1968 1112   18
 1969 1265   15
 1970 1470   16
 1971 1663   15
 1972 1886   13
 1973 2224    8
 1974 2194    9
 1975 1989   10
 1976 1874   10
 1977 1765    9
 1978 1618    7
 1979 1440    7
 1980 1462    5
 1981 1881    4
 1982 2265    3
 1983 2122    3
 1984 1907    3
 1985 1841    2
 1986 1840    2
 1987 1861    1
 1988 1682    0
 1989 1767    0
 1990 2257    0
 1991 2127    0
 1992 1921    0
 1993 1804    0
 1994 1797    0
 1995 1798    0
 1996 1805    0
 1997 1944    0
 1998 2517    0
 1999 2323    0
 2000 2125    0
 2001 2058    0
 2002 2031    0
 2003 2057    0
 2004 2035    0
 2005 1752    0
 2006 1860    0
 2007 2435    0
 2008 2419    0
 2009 2209    0
 2010 2111    0
 2011 2113    0
 2012 2125    0
 2013 2088    0
 2014 1817    0
 2015 1383    0
 2016 1253    0
 2017 1135    0
 2018 1175    0
