Year   Moose  Wolves
 1959  645   20
 1960  695   22
 1961  784   23
 1962  796   36
 1963  836   38
 1964  861   38
 1965  814   37
 1966  860   36
 1967  820   36
 1968  786   39
 1969  742   37
 1970  780   35
 1971  706   34
 1972  677   33
 1973  614   25
 1974  614   25
 1975  613   24
 1976  567   25
 1977  564   28
 1978  542   28
 1979  570   26
 1980  539   28
 1981  545   25
 1982  540   23
 1983  517   23
 1984  557   24
 1985  511   26
 1986  456   26
 1987  482   23
 1988  493   19
 1989  510   16
 1990  545   17
 1991  520   17
 1992  532   20
 1993  539   19
 1994  570   19
 1995  540   19
 1996  598   18
 1997  680   22
 1998  685   22
 1999  730   20
 2000  783   19
 2001  853   19
 2002  895   20
 2003 1016   16
 2004 1125   15
 2005 1306   14
 2006 1444   11
 2007 1704   10
 2008 2029    8
 2009 2361    6
 2010 2361    5
 2011 2187    5
 2012 2068    4
 2013 1976    4
 2014 1870    2
 2015 1711    2
 2016 1478    2
 2017 1545    2
 2018 2015    2
