Year   Moose  Wolves
 1959  724   20
 1960  813   21
 1961  889   24
 1962  909   26
 1963  973   27
 1964 1009   28
 1965 1112   30
 1966 1223   30
 1967 1246   29
 1968 1345   25
 1969 1457   21
 1970 1633   21
 1971 1814   23
 1972 2047   21
 1973 2362   20
 1974 2278   22
 1975 2052   20
 1976 1883   20
 1977 1721   16
 1978 1530   11
 1979 1364   10
 1980 1407   10
 1981 1718   10
 1982 2069   10
 1983 2423    9
 1984 2288    7
 1985 2134    5
 1986 2075    5
 1987 2094    3
 1988 1937    3
 1989 1770    2
 1990 1493    1
 1991 1564    1
 1992 2051    0
 1993 2592    0
 1994 2454    0
 1995 2271    0
 1996 2187    0
 1997 2211    0
 1998 2267    0
 1999 2052    0
 2000 1728    0
 2001 1426    0
 2002 1291    0
 2003 1216    0
 2004 1272    0
 2005 1652    0
 2006 2050    0
 2007 2416    0
 2008 2284    0
 2009 2133    0
 2010 2120    0
 2011 2151    0
 2012 2009    0
 2013 1765    0
 2014 1513    0
 2015 1240    0
 2016 1115    0
 2017 1172    0
 2018 1572    0
