Year   Moose  Wolves
 1959  637   20
 1960  644   20
 1961  630   20
 1962  646   22
 1963  734   22
 1964  766   22
 1965  852   19
 1966  914   18
 1967 1026   20
 1968 1173   17
 1969 1336   18
 1970 1502   16
 1971 1722   18
 1972 1978   18
 1973 2251   16
 1974 2209   16
 1975 2051   15
 1976 1860   17
 1977 1713   16
 1978 1504   14
 1979 1316   14
 1980 1278   10
 1981 1611   11
 1982 1873   11
 1983 2161   11
 1984 1978   12
 1985 1802   14
 1986 1738   16
 1987 1701   16
 1988 1492   15
 1989 1499   13
 1990 1831   12
 1991 2151   15
 1992 1912   16
 1993 1704   15
 1994 1632   12
 1995 1572   10
 1996 1542   10
 1997 1552    8
 1998 1923    8
 1999 2293    8
 2000 2067    6
 2001 1869    7
 2002 1853    5
 2003 1853    3
 2004 1875    2
 2005 1998    2
 2006 2611    1
 2007 2388    1
 2008 2144    1
 2009 2060    1
 2010 2046    1
 2011 2056    1
 2012 2034    0
 2013 1744    0
 2014 1820    0
 2015 2320    0
 2016 2186    0
 2017 1988    0
 2018 1870    0
