Year   Moose  Wolves
 1959  545   20
 1960  602   18
 1961  604   19
 1962  593   17
 1963  609   16
 1964  631   15
 1965  688    9
 1966  773    8
 1967  870    7
 1968 1002    5
 1969 1173    5
 1970 1388    2
 1971 1630    2
 1972 1937    2
 1973 2286    2
 1974 2259    1
 1975 2092    1
 1976 2017    1
 1977 1946    0
 1978 1846    0
 1979 1681    0
 1980 1804    0
 1981 2364    0
 1982 2302    0
 1983 2082    0
 1984 2014    0
 1985 2016    0
 1986 1982    0
 1987 1952    0
 1988 2068    0
 1989 2710    0
 1990 2487    0
 1991 2240    0
 1992 2124    0
 1993 2166    0
 1994 2186    0
 1995 2180    0
 1996 1832    0
 1997 1418    0
 1998 1286    0
 1999 1207    0
 2000 1117    0
 2001 1208    0
 2002 1573    0
 2003 1947    0
 2004 2302    0
 2005 2245    0
 2006 2116    0
 2007 2111    0
 2008 2153    0
 2009 2036    0
 2010 1782    0
 2011 1565    0
 2012 1285    0
 2013 1160    0
 2014 1226    0
 2015 1582    0
 2016 1918    0
 2017 2282    0
 2018 2204    0
