Year   Moose  Wolves
 1959  480   20
 1960  465   21
 1961  465   21
 1962  445   26
 1963  419   26
 1964  406   24
 1965  376   24
 1966  377   21
 1967  321   20
 1968  316   16
 1969  309   13
 1970  308   12
 1971  288   12
 1972  306   11
 1973  318    9
 1974  335    5
 1975  390    7
 1976  444    7
 1977  480    7
 1978  547    5
 1979  639    4
 1980  768    4
 1981  894    4
 1982 1027    3
 1983 1222    2
 1984 1471    4
 1985 1729    3
 1986 2121    3
 1987 2127    3
 1988 1995    2
 1989 1941    2
 1990 1861    2
 1991 1789    2
 1992 1657    2
 1993 1738    2
 1994 2229    2
 1995 2132    1
 1996 1943    0
 1997 1879    0
 1998 1860    0
 1999 1845    0
 2000 1827    0
 2001 1987    0
 2002 2629    0
 2003 2425    0
 2004 2208    0
 2005 2136    0
 2006 2129    0
 2007 2128    0
 2008 2124    0
 2009 1818    0
 2010 1394    0
 2011 1231    0
 2012 1152    0
 2013 1083    0
 2014 1158    0
 2015 1506    0
 2016 1899    0
 2017 2246    0
 2018 2185    0
