Year   Moose  Wolves
 1959  621   20
 1960  677   20
 1961  691   21
 1962  733   23
 1963  750   24
 1964  748   23
 1965  786   27
 1966  814   27
 1967  835   26
 1968  877   30
 1969  910   29
 1970  971   28
 1971 1023   27
 1972 1088   29
 1973 1197   31
 1974 1269   26
 1975 1450   24
 1976 1657   25
 1977 1875   23
 1978 2133   20
 1979 2036   17
 1980 1831   16
 1981 1702   16
 1982 1560   17
 1983 1392   14
 1984 1405   12
 1985 1719   11
 1986 2021   10
 1987 2368    9
 1988 2138    7
 1989 1983    6
 1990 1940    6
 1991 1975    7
 1992 1831    6
 1993 1620    5
 1994 1649    5
 1995 2132    4
 1996 2049    3
 1997 1853    3
 1998 1718    3
 1999 1686    2
 2000 1657    2
 2001 1790    2
 2002 2296    2
 2003 2119    0
 2004 1901    0
 2005 1888    0
 2006 1908    0
 2007 1932    0
 2008 1941    0
 2009 2060    0
 2010 2687    0
 2011 2522    0
 2012 2282    0
 2013 2164    0
 2014 2130    0
 2015 2124    0
 2016 2110    0
 2017 1860    0
 2018 1466    0
