Year   Moose  Wolves
 1959  622   20
 1960  629   21
 1961  688   23
 1962  714   25
 1963  736   27
 1964  694   28
 1965  763   33
 1966  783   30
 1967  786   28
 1968  766   24
 1969  771   22
 1970  841   20
 1971  917   23
 1972 1017   26
 1973 1080   27
 1974 1194   26
 1975 1339   27
 1976 1445   26
 1977 1607   25
 1978 1787   25
 1979 1964   29
 1980 2192   26
 1981 2073   31
 1982 1817   30
 1983 1649   32
 1984 1465   28
 1985 1272   26
 1986 1150   24
 1987 1376   24
 1988 1516   23
 1989 1730   22
 1990 1965   22
 1991 2239   19
 1992 2079   17
 1993 1960   16
 1994 1794   18
 1995 1648   18
 1996 1409   16
 1997 1343   14
 1998 1659   15
 1999 2000   14
 2000 2276   12
 2001 2130   10
 2002 1941   14
 2003 1907   15
 2004 1863   15
 2005 1688   17
 2006 1398   15
 2007 1414   14
 2008 1730   15
 2009 2056   16
 2010 2342   16
 2011 2128   15
 2012 1940   14
 2013 1883   15
 2014 1862   11
 2015 1653   11
 2016 1414    9
 2017 1412    4
 2018 1813    4
