Year   Moose  Wolves
 1959  727   20
 1960  710   21
 1961  742   23
 1962  767   24
 1963  780   25
 1964  807   25
 1965  790   27
 1966  770   29
 1967  778   29
 1968  785   29
 1969  747   30
 1970  727   32
 1971  661   32
 1972  662   31
 1973  670   32
 1974  608   29
 1975  567   29
 1976  510   22
 1977  511   19
 1978  505   18
 1979  515   17
 1980  542   13
 1981  561   16
 1982  620   13
 1983  695   11
 1984  790   11
 1985  857   10
 1986  973    9
 1987 1070    6
 1988 1288    7
 1989 1464    6
 1990 1721    6
 1991 2033    8
 1992 2384    7
 1993 2390    7
 1994 2215    6
 1995 2087    6
 1996 1963    5
 1997 1846    5
 1998 1676    4
 1999 1482    3
 2000 1545    2
 2001 2025    2
 2002 2481    1
 2003 2289    0
 2004 2081    0
 2005 1998    0
 2006 1978    0
 2007 1982    0
 2008 1786    0
 2009 1889    0
 2010 2438    0
 2011 2318    0
 2012 2098    0
 2013 1999    0
 2014 1960    0
 2015 1948    0
 2016 1922    0
 2017 2024    0
 2018 2659    0
