Year   Moose  Wolves
 1959  533   20
 1960  586   25
 1961  604   28
 1962  595   27
 1963  575   32
 1964  593   31
 1965  532   28
 1966  523   23
 1967  563   23
 1968  560   24
 1969  591   26
 1970  588   26
 1971  594   25
 1972  612   27
 1973  554   26
 1974  537   22
 1975  573   23
 1976  562   29
 1977  545   28
 1978  518   28
 1979  471   27
 1980  477   23
 1981  470   22
 1982  435   19
 1983  410   17
 1984  401   16
 1985  395   19
 1986  373   17
 1987  388   15
 1988  380   12
 1989  417   11
 1990  436   16
 1991  470   15
 1992  479   13
 1993  500   18
 1994  551   21
 1995  610   26
 1996  667   26
 1997  659   32
 1998  618   31
 1999  553   32
 2000  515   30
 2001  490   27
 2002  475   25
 2003  466   23
 2004  434   22
 2005  447   19
 2006  450   14
 2007  452   18
 2008  437   15
 2009  412   14
 2010  438   11
 2011  444    9
 2012  471   12
 2013  512   13
 2014  551   16
 2015  617   15
 2016  637   14
 2017  675   21
 2018  733   20
