Year   Moose  Wolves
 1959  500   20
 1960  535   23
 1961  487   26
 1962  454   29
 1963  396   27
 1964  366   25
 1965  311   22
 1966  289   22
 1967  266   19
 1968  273   16
 1969  246   12
 1970  211    8
 1971  218   10
 1972  195    8
 1973  191    4
 1974  209    3
 1975  234    3
 1976  280    3
 1977  314    3
 1978  364    3
 1979  418    3
 1980  498    5
 1981  564    8
 1982  608    5
 1983  702    5
 1984  842    5
 1985  964    7
 1986 1133    7
 1987 1322    7
 1988 1547    8
 1989 1803    7
 1990 2137    7
 1991 2163   11
 1992 2002   10
 1993 1896    9
 1994 1772   10
 1995 1640   10
 1996 1476    9
 1997 1532    8
 1998 1918   10
 1999 2306   10
 2000 2120    9
 2001 1911    9
 2002 1800    5
 2003 1819    4
 2004 1771    4
 2005 1583    3
 2006 1644    2
 2007 2103    2
 2008 1946    2
 2009 1752    1
 2010 1644    0
 2011 1628    0
 2012 1597    0
 2013 1718    0
 2014 2256    0
 2015 2140    0
 2016 1905    0
 2017 1844    0
 2018 1846    0
