Year   Moose  Wolves
 1959  741   20
 1960  862   18
 1961  950   18
 1962 1034   19
 1963 1128   24
 1964 1271   21
 1965 1441   17
 1966 1634   20
 1967 1913   25
 1968 2192   28
 1969 2128   33
 1970 1926   34
 1971 1778   39
 1972 1549   37
 1973 1264   37
 1974  951   36
 1975  623   32
 1976  510   31
 1977  473   28
 1978  533   33
 1979  563   35
 1980  536   29
 1981  558   23
 1982  590   19
 1983  646   23
 1984  706   23
 1985  803   23
 1986  923   22
 1987 1020   23
 1988 1156   28
 1989 1310   24
 1990 1488   18
 1991 1757   18
 1992 2104   19
 1993 2095   22
 1994 1914   24
 1995 1804   20
 1996 1676   21
 1997 1560   26
 1998 1527   28
 1999 1814   32
 2000 2183   37
 2001 1989   42
 2002 1754   43
 2003 1656   45
 2004 1537   40
 2005 1425   39
 2006 1184   33
 2007 1307   30
 2008 1482   31
 2009 1735   32
 2010 1974   27
 2011 2309   23
 2012 2185   21
 2013 2049   26
 2014 1972   22
 2015 1749   23
 2016 1542   31
 2017 1252   34
 2018 1223   34
