Year   Moose  Wolves
 1959  721   20
 1960  714   19
 1961  774   17
 1962  844   21
 1963  829   19
 1964  919   17
 1965  972   18
 1966 1082   14
 1967 1191   14
 1968 1352   18
 1969 1523   17
 1970 1745   15
 1971 2031   16
 1972 2340   20
 1973 2326   19
 1974 2087   18
 1975 1936   17
 1976 1750   17
 1977 1564   20
 1978 1340   22
 1979 1224   21
 1980 1505   19
 1981 1745   28
 1982 1915   26
 1983 2127   24
 1984 1921   23
 1985 1756   22
 1986 1683   23
 1987 1484   21
 1988 1174   25
 1989 1065   23
 1990 1168   22
 1991 1300   19
 1992 1473   19
 1993 1661   17
 1994 1872   19
 1995 2071   18
 1996 2355   17
 1997 2268   17
 1998 2030   20
 1999 1845   25
 2000 1631   27
 2001 1346   29
 2002 1068   26
 2003  973   23
 2004 1091   23
 2005 1259   25
 2006 1366   23
 2007 1515   27
 2008 1668   37
 2009 1814   43
 2010 1979   36
 2011 2259   35
 2012 2100   38
 2013 1824   49
 2014 1602   57
 2015 1300   54
 2016 1013   52
 2017  677   50
 2018  936   43
