Year   Moose  Wolves
 1959  667   20
 1960  702   28
 1961  709   33
 1962  701   36
 1963  675   39
 1964  676   41
 1965  607   37
 1966  619   32
 1967  551   31
 1968  547   28
 1969  568   25
 1970  543   23
 1971  552   26
 1972  548   24
 1973  542   20
 1974  528   15
 1975  563   15
 1976  611   13
 1977  651   19
 1978  684   19
 1979  692   18
 1980  722   25
 1981  773   28
 1982  781   30
 1983  852   31
 1984  828   37
 1985  874   38
 1986  916   35
 1987  974   39
 1988 1041   38
 1989  965   49
 1990  954   46
 1991  876   39
 1992  943   35
 1993  962   34
 1994  939   39
 1995  856   38
 1996  843   40
 1997  762   38
 1998  676   33
 1999  559   32
 2000  543   30
 2001  510   25
 2002  525   21
 2003  512   21
 2004  480   20
 2005  467   16
 2006  460   16
 2007  445   16
 2008  474   16
 2009  512   20
 2010  490   25
 2011  436   25
 2012  388   24
 2013  335   25
 2014  273   23
 2015  199   23
 2016  130   21
 2017   66   20
 2018   31   19
