Year   Moose  Wolves
 1959  629   20
 1960  707   21
 1961  684   23
 1962  691   24
 1963  651   30
 1964  653   33
 1965  617   32
 1966  552   31
 1967  532   29
 1968  482   25
 1969  427   23
 1970  396   22
 1971  374   18
 1972  371   18
 1973  375   19
 1974  379   13
 1975  370   10
 1976  402    9
 1977  415    8
 1978  424    8
 1979  480    8
 1980  550   12
 1981  556   11
 1982  563    9
 1983  602    8
 1984  696    6
 1985  803    6
 1986  926    8
 1987 1056    7
 1988 1247    7
 1989 1470    6
 1990 1781    5
 1991 2111    7
 1992 2151    6
 1993 2020    5
 1994 1927    5
 1995 1876    5
 1996 1717    7
 1997 1532    7
 1998 1588    6
 1999 2050    6
 2000 2464   12
 2001 2281   12
 2002 2045   12
 2003 1960   11
 2004 1914   11
 2005 1842   10
 2006 1587    9
 2007 1631    8
 2008 2061    8
 2009 2462    7
 2010 2252    5
 2011 2048    3
 2012 1983    2
 2013 1975    1
 2014 2006    0
 2015 1843    0
 2016 1939    0
 2017 2590    0
 2018 2469    0
