Year   Moose  Wolves
 1959  602   20
 1960  614   22
 1961  584   28
 1962  559   26
 1963  514   25
 1964  501   26
 1965  503   26
 1966  482   24
 1967  475   19
 1968  458   17
 1969  481   14
 1970  500   11
 1971  540   15
 1972  564   14
 1973  629   12
 1974  694   18
 1975  723   23
 1976  766   28
 1977  750   25
 1978  817   23
 1979  895   23
 1980  978   28
 1981 1056   31
 1982 1048   30
 1983 1083   30
 1984 1087   30
 1985 1164   32
 1986 1228   34
 1987 1314   38
 1988 1291   48
 1989 1228   54
 1990 1275   54
 1991 1254   54
 1992 1168   55
 1993 1018   54
 1994 1012   46
 1995 1012   46
 1996 1021   47
 1997  966   42
 1998 1025   40
 1999 1015   37
 2000 1036   29
 2001 1021   25
 2002 1112   19
 2003 1284   20
 2004 1414   28
 2005 1560   29
 2006 1791   44
 2007 1830   47
 2008 2069   46
 2009 2183   44
 2010 1972   44
 2011 1656   56
 2012 1390   52
 2013 1092   44
 2014  754   39
 2015  529   32
 2016  379   26
 2017  348   22
 2018  295   19
