Year   Moose  Wolves
 1959  744   20
 1960  784   21
 1961  870   24
 1962  926   25
 1963  975   33
 1964 1015   32
 1965 1011   32
 1966 1073   39
 1967 1099   37
 1968 1169   40
 1969 1295   43
 1970 1383   44
 1971 1448   46
 1972 1473   51
 1973 1572   47
 1974 1630   44
 1975 1712   43
 1976 1841   44
 1977 2071   44
 1978 2300   53
 1979 2032   49
 1980 1715   45
 1981 1534   39
 1982 1260   36
 1983  974   32
 1984  728   28
 1985  772   26
 1986  816   23
 1987  841   24
 1988  831   21
 1989  870   18
 1990  909   21
 1991  962   24
 1992 1004   25
 1993 1081   25
 1994 1160   26
 1995 1271   35
 1996 1348   39
 1997 1406   45
 1998 1519   42
 1999 1561   62
 2000 1671   67
 2001 1799   68
 2002 1912   73
 2003 2125   76
 2004 1759   79
 2005 1393   77
 2006 1094   70
 2007  797   67
 2008  203   60
 2009  216   55
 2010   74   48
 2011    1   40
 2012    1   35
 2013    1   24
 2014    1   13
 2015    1    9
 2016    1    7
 2017    0    5
 2018    0    4
