Year   Moose  Wolves
 1959  752   20
 1960  821   22
 1961  833   26
 1962  859   31
 1963  891   30
 1964  892   28
 1965  866   32
 1966  934   33
 1967  952   37
 1968  937   36
 1969  957   35
 1970  898   32
 1971  899   42
 1972  801   42
 1973  747   40
 1974  672   37
 1975  592   36
 1976  483   33
 1977  390   29
 1978  365   23
 1979  286   23
 1980  206   22
 1981  160   17
 1982  150   10
 1983  131    7
 1984  131    5
 1985  140    5
 1986  141    3
 1987  161    2
 1988  180    2
 1989  205    1
 1990  250    1
 1991  301    1
 1992  356    1
 1993  425    1
 1994  514    0
 1995  633    0
 1996  776    0
 1997  967    0
 1998 1167    0
 1999 1435    0
 2000 1773    0
 2001 2167    0
 2002 2266    0
 2003 2147    0
 2004 2069    0
 2005 2031    0
 2006 1929    0
 2007 1773    0
 2008 1578    0
 2009 1666    0
 2010 2197    0
 2011 2221    0
 2012 2018    0
 2013 1897    0
 2014 1876    0
 2015 1852    0
 2016 1851    0
 2017 1979    0
 2018 2539    0
