Year   Moose  Wolves
 1959  686   20
 1960  669   20
 1961  702   21
 1962  758   27
 1963  737   33
 1964  785   36
 1965  830   37
 1966  785   40
 1967  699   37
 1968  654   34
 1969  564   33
 1970  565   32
 1971  517   30
 1972  490   27
 1973  481   24
 1974  415   24
 1975  358   18
 1976  319   18
 1977  250   13
 1978  261   11
 1979  279   12
 1980  278   10
 1981  296   10
 1982  319   13
 1983  317   10
 1984  341    9
 1985  367    7
 1986  407    6
 1987  476    5
 1988  555    4
 1989  626    3
 1990  722    3
 1991  879    2
 1992 1054    2
 1993 1250    2
 1994 1507    1
 1995 1822    1
 1996 2178    1
 1997 2243    1
 1998 2082    1
 1999 2007    1
 2000 1950    1
 2001 1846    1
 2002 1716    1
 2003 1813    1
 2004 2354    1
 2005 2215    1
 2006 2009    0
 2007 1906    0
 2008 1901    0
 2009 1866    0
 2010 1857    0
 2011 1983    0
 2012 2610    0
 2013 2436    0
 2014 2236    0
 2015 2146    0
 2016 2149    0
 2017 2164    0
 2018 2184    0
