Year   Moose  Wolves
 1959  601   20
 1960  635   22
 1961  699   24
 1962  758   24
 1963  809   23
 1964  892   22
 1965 1008   21
 1966 1163   16
 1967 1322   17
 1968 1513   19
 1969 1746   17
 1970 2072   20
 1971 2426   27
 1972 2328   25
 1973 2122   33
 1974 1978   36
 1975 1816   36
 1976 1606   37
 1977 1359   35
 1978 1022   34
 1979  938   31
 1980 1139   30
 1981 1309   30
 1982 1460   34
 1983 1626   31
 1984 1786   33
 1985 1999   35
 1986 2249   40
 1987 2150   47
 1988 1827   46
 1989 1619   46
 1990 1332   45
 1991 1061   42
 1992  727   40
 1993  376   34
 1994  519   27
 1995  584   29
 1996  661   27
 1997  707   19
 1998  748   14
 1999  828   12
 2000  942   12
 2001 1105   19
 2002 1225   17
 2003 1401   17
 2004 1631   18
 2005 1931   21
 2006 2257   24
 2007 2200   25
 2008 1979   32
 2009 1886   31
 2010 1772   29
 2011 1537   34
 2012 1266   31
 2013 1251   30
 2014 1518   28
 2015 1825   24
 2016 2140   24
 2017 1971   24
 2018 1813   24
