Year   Moose  Wolves
 1959  645   20
 1960  650   24
 1961  668   22
 1962  661   26
 1963  648   33
 1964  636   35
 1965  581   31
 1966  572   28
 1967  582   26
 1968  544   22
 1969  551   20
 1970  550   25
 1971  566   19
 1972  594   18
 1973  644   16
 1974  701   16
 1975  733   13
 1976  801   11
 1977  941    9
 1978 1098    9
 1979 1314    7
 1980 1539    6
 1981 1858    5
 1982 2267    5
 1983 2297    5
 1984 2148    3
 1985 2082    2
 1986 2012    2
 1987 1929    2
 1988 1748    2
 1989 1500    2
 1990 1539    0
 1991 2017    0
 1992 2552    0
 1993 2432    0
 1994 2219    0
 1995 2155    0
 1996 2213    0
 1997 2261    0
 1998 2085    0
 1999 1786    0
 2000 1466    0
 2001 1325    0
 2002 1215    0
 2003 1314    0
 2004 1737    0
 2005 2153    0
 2006 2047    0
 2007 1879    0
 2008 1851    0
 2009 1909    0
 2010 1902    0
 2011 2045    0
 2012 2658    0
 2013 2465    0
 2014 2257    0
 2015 2196    0
 2016 2220    0
 2017 2221    0
 2018 2229    0
