Year   Moose  Wolves
 1959  639   20
 1960  719   18
 1961  722   15
 1962  805   17
 1963  876   15
 1964  967   14
 1965 1094   20
 1966 1196   18
 1967 1315   19
 1968 1501   18
 1969 1648   17
 1970 1911   15
 1971 2186   17
 1972 2080   17
 1973 1878   17
 1974 1791   15
 1975 1662   13
 1976 1517    9
 1977 1561   11
 1978 1930   10
 1979 2321   10
 1980 2132   10
 1981 1892   12
 1982 1813   11
 1983 1746   10
 1984 1689   13
 1985 1419   12
 1986 1404   11
 1987 1762   13
 1988 2131   14
 1989 1899   12
 1990 1681   11
 1991 1619   11
 1992 1572   15
 1993 1513   17
 1994 1442   15
 1995 1777   18
 1996 2099   21
 1997 2387   23
 1998 2154   22
 1999 1941   27
 2000 1846   30
 2001 1768   32
 2002 1463   30
 2003 1122   28
 2004 1001   25
 2005 1070   29
 2006 1150   26
 2007 1278   27
 2008 1330   21
 2009 1440   19
 2010 1593   21
 2011 1831   23
 2012 2021   27
 2013 2224   33
 2014 2136   38
 2015 1842   40
 2016 1653   44
 2017 1413   44
 2018 1097   41
