Year   Moose  Wolves
 1959  692   20
 1960  715   20
 1961  739   19
 1962  791   20
 1963  853   24
 1964  886   22
 1965  888   20
 1966  950   15
 1967 1002   16
 1968 1121   17
 1969 1241   15
 1970 1459   12
 1971 1688    6
 1972 2015    6
 1973 2418    5
 1974 2424    5
 1975 2280    2
 1976 2219    2
 1977 2119    2
 1978 2004    1
 1979 1843    1
 1980 1626    1
 1981 1350    1
 1982 1194    1
 1983 1268    0
 1984 1673    0
 1985 2063    0
 1986 2414    0
 1987 2334    0
 1988 2169    0
 1989 2165    0
 1990 2193    0
 1991 2038    0
 1992 1821    0
 1993 1602    0
 1994 1370    0
 1995 1213    0
 1996 1290    0
 1997 1685    0
 1998 2045    0
 1999 2414    0
 2000 2306    0
 2001 2132    0
 2002 2091    0
 2003 2154    0
 2004 1987    0
 2005 1793    0
 2006 1580    0
 2007 1316    0
 2008 1154    0
 2009 1226    0
 2010 1597    0
 2011 1912    0
 2012 2253    0
 2013 2161    0
 2014 1985    0
 2015 1940    0
 2016 1951    0
 2017 1847    0
 2018 1692    0
