Year   Moose  Wolves
 1959  626   20
 1960  597   23
 1961  555   21
 1962  550   19
 1963  583   15
 1964  627   13
 1965  691   12
 1966  748   15
 1967  785   15
 1968  812   11
 1969  919    9
 1970 1034    7
 1971 1207    5
 1972 1429    5
 1973 1696    5
 1974 2000    7
 1975 2348    8
 1976 2341   11
 1977 2130   16
 1978 2023   20
 1979 1781   18
 1980 1547   25
 1981 1287   27
 1982  983   28
 1983  822   31
 1984  931   45
 1985  868   51
 1986  752   51
 1987  760   46
 1988  699   43
 1989  600   37
 1990  569   35
 1991  540   31
 1992  531   27
 1993  514   28
 1994  449   27
 1995  398   18
 1996  384   15
 1997  408   10
 1998  438    8
 1999  470    7
 2000  527    7
 2001  581    7
 2002  658    7
 2003  744    6
 2004  834    3
 2005  996    3
 2006 1192    2
 2007 1428    1
 2008 1714    1
 2009 2069    1
 2010 2515    1
 2011 2611    1
 2012 2459    1
 2013 2359    1
 2014 2286    1
 2015 2175    1
 2016 1996    0
 2017 1763    0
 2018 1462    0
