Year   Moose  Wolves
 1959  729   20
 1960  787   25
 1961  838   34
 1962  804   37
 1963  842   37
 1964  838   34
 1965  835   33
 1966  886   32
 1967  882   39
 1968  831   37
 1969  808   31
 1970  828   29
 1971  837   26
 1972  897   18
 1973  977   17
 1974 1095   17
 1975 1234   15
 1976 1444   13
 1977 1631   14
 1978 1849   11
 1979 2165   10
 1980 2137    6
 1981 1974    6
 1982 1874    5
 1983 1782    7
 1984 1681    5
 1985 1526    5
 1986 1603    5
 1987 2044    4
 1988 2506    4
 1989 2353    4
 1990 2168    7
 1991 2095    7
 1992 2113    6
 1993 2063    6
 1994 1829    7
 1995 1532    7
 1996 1217    7
 1997 1040    7
 1998 1077    7
 1999 1328    7
 2000 1596    6
 2001 1848    6
 2002 2218    4
 2003 2164    7
 2004 2061    7
 2005 2058    5
 2006 1955    4
 2007 1811    4
 2008 1642    4
 2009 1706    4
 2010 2211    4
 2011 2111    4
 2012 1887    2
 2013 1800    2
 2014 1781    1
 2015 1754    0
 2016 1773    0
 2017 1876    0
 2018 2429    0
