Year   Moose  Wolves
 1959  600   20
 1960  614   27
 1961  555   31
 1962  504   32
 1963  462   32
 1964  394   31
 1965  326   26
 1966  268   23
 1967  267   22
 1968  242   21
 1969  223   21
 1970  170   19
 1971  103   16
 1972   72   13
 1973  106   10
 1974   86    7
 1975   72    7
 1976   55    7
 1977   48    7
 1978   33    6
 1979   30    5
 1980   42    4
 1981   31    3
 1982   18    2
 1983   12    0
 1984   15    0
 1985   17    0
 1986   19    0
 1987   24    0
 1988   27    0
 1989   29    0
 1990   33    0
 1991   43    0
 1992   54    0
 1993   63    0
 1994   82    0
 1995  110    0
 1996  131    0
 1997  162    0
 1998  197    0
 1999  243    0
 2000  297    0
 2001  365    0
 2002  446    0
 2003  541    0
 2004  670    0
 2005  837    0
 2006 1006    0
 2007 1228    0
 2008 1506    0
 2009 1806    0
 2010 2174    0
 2011 2244    0
 2012 2146    0
 2013 2108    0
 2014 2052    0
 2015 1946    0
 2016 1815    0
 2017 1635    0
 2018 1382    0
