Year   Moose  Wolves
 1959  613   20
 1960  598   23
 1961  594   24
 1962  575   27
 1963  527   29
 1964  492   30
 1965  454   29
 1966  448   26
 1967  411   23
 1968  374   21
 1969  363   19
 1970  377   12
 1971  385    8
 1972  404   10
 1973  432    8
 1974  487    7
 1975  515    5
 1976  591    5
 1977  675    4
 1978  764    4
 1979  895    3
 1980 1069    3
 1981 1272    3
 1982 1514    2
 1983 1797    1
 1984 2146    1
 1985 2168    0
 1986 2030    0
 1987 1930    0
 1988 1866    0
 1989 1780    0
 1990 1626    0
 1991 1721    0
 1992 2245    0
 1993 2152    0
 1994 1920    0
 1995 1828    0
 1996 1803    0
 1997 1800    0
 1998 1774    0
 1999 1883    0
 2000 2498    0
 2001 2348    0
 2002 2122    0
 2003 2000    0
 2004 1993    0
 2005 1998    0
 2006 1976    0
 2007 1712    0
 2008 1800    0
 2009 2371    0
 2010 2324    0
 2011 2092    0
 2012 2010    0
 2013 1982    0
 2014 1979    0
 2015 1980    0
 2016 2120    0
 2017 2044    0
 2018 1821    0
