Year   Moose  Wolves
 1959  750   20
 1960  832   20
 1961  808   20
 1962  810   22
 1963  834   23
 1964  850   25
 1965  937   33
 1966  923   35
 1967  924   40
 1968  916   47
 1969  848   45
 1970  707   38
 1971  608   38
 1972  496   37
 1973  409   34
 1974  399   31
 1975  350   29
 1976  332   25
 1977  299   21
 1978  285   12
 1979  290   10
 1980  281    6
 1981  288    4
 1982  322    5
 1983  364    5
 1984  416    5
 1985  462    5
 1986  506    4
 1987  565    3
 1988  645    3
 1989  765    3
 1990  908    3
 1991 1070    3
 1992 1242    3
 1993 1477    1
 1994 1775    0
 1995 2109    0
 1996 2191    0
 1997 2028    0
 1998 1970    0
 1999 1925    0
 2000 1841    0
 2001 1715    0
 2002 1834    0
 2003 2372    0
 2004 2281    0
 2005 2089    0
 2006 1959    0
 2007 1926    0
 2008 1907    0
 2009 1892    0
 2010 1963    0
 2011 2503    0
 2012 2266    0
 2013 2043    0
 2014 1959    0
 2015 1943    0
 2016 1928    0
 2017 1960    0
 2018 2047    0
