Year   Moose  Wolves
 1959  667   20
 1960  713   20
 1961  733   22
 1962  740   28
 1963  698   28
 1964  718   27
 1965  746   24
 1966  788   18
 1967  820   14
 1968  896   12
 1969 1001   17
 1970 1106   14
 1971 1247   13
 1972 1434   10
 1973 1674    9
 1974 1995    7
 1975 2353    6
 1976 2349    6
 1977 2190    5
 1978 2121    5
 1979 2078    6
 1980 1938    6
 1981 1737    7
 1982 1504    6
 1983 1235    6
 1984 1276    4
 1985 1689    4
 1986 2053    7
 1987 2347    7
 1988 2220    7
 1989 2044    7
 1990 1993    9
 1991 1983   11
 1992 1743    9
 1993 1518    9
 1994 1576   12
 1995 1988   14
 1996 2356   16
 1997 2142   20
 1998 1899   24
 1999 1831   25
 2000 1648   24
 2001 1524   24
 2002 1155   23
 2003  981   21
 2004 1085   21
 2005 1226   20
 2006 1374   21
 2007 1543   19
 2008 1656   17
 2009 1840   18
 2010 2055   18
 2011 2357   20
 2012 2280   20
 2013 1946   27
 2014 1745   27
 2015 1602   24
 2016 1382   24
 2017 1110   20
 2018 1075   21
