Year   Moose  Wolves
 1959  727   20
 1960  788   18
 1961  815   17
 1962  877   22
 1963  903   28
 1964  991   29
 1965 1045   34
 1966 1140   32
 1967 1159   26
 1968 1310   23
 1969 1485   34
 1970 1630   36
 1971 1746   34
 1972 1956   30
 1973 2188   27
 1974 2090   21
 1975 1869   21
 1976 1729   20
 1977 1591   18
 1978 1425   17
 1979 1426   17
 1980 1821   17
 1981 2130   12
 1982 1953   11
 1983 1745   10
 1984 1702   11
 1985 1654   11
 1986 1614   10
 1987 1579    6
 1988 2088    6
 1989 2563    6
 1990 2296    3
 1991 2121    1
 1992 2068    1
 1993 2140    0
 1994 2220    0
 1995 2040    0
 1996 1754    0
 1997 1413    0
 1998 1271    0
 1999 1215    0
 2000 1294    0
 2001 1673    0
 2002 2098    0
 2003 2503    0
 2004 2357    0
 2005 2242    0
 2006 2236    0
 2007 2321    0
 2008 2206    0
 2009 1973    0
 2010 1715    0
 2011 1447    0
 2012 1323    0
 2013 1232    0
 2014 1296    0
 2015 1705    0
 2016 2116    0
 2017 2033    0
 2018 1848    0
