Year   Moose  Wolves
 1959  571   20
 1960  551   22
 1961  541   24
 1962  520   27
 1963  483   26
 1964  479   23
 1965  445   26
 1966  468   22
 1967  422   22
 1968  400   20
 1969  378   21
 1970  322   16
 1971  331   16
 1972  354   17
 1973  375   16
 1974  350   15
 1975  333   15
 1976  334   11
 1977  321   10
 1978  350   10
 1979  339   13
 1980  325   15
 1981  332   14
 1982  320   11
 1983  351    8
 1984  374    7
 1985  390    9
 1986  416    9
 1987  462    8
 1988  515    8
 1989  570    7
 1990  671   11
 1991  781   10
 1992  892   10
 1993 1007   11
 1994 1186   15
 1995 1363   14
 1996 1572   16
 1997 1801   15
 1998 2067   15
 1999 2395   24
 2000 2341   24
 2001 2101   20
 2002 1943   23
 2003 1704   25
 2004 1522   27
 2005 1236   24
 2006  903   21
 2007  780   17
 2008  916   18
 2009  953   17
 2010 1020   14
 2011 1095   16
 2012 1138   19
 2013 1286   18
 2014 1434   19
 2015 1494   20
 2016 1628   15
 2017 1866   14
 2018 2145   16
