Year   Moose  Wolves
 1959  665   20
 1960  682   20
 1961  662   20
 1962  680   22
 1963  689   22
 1964  716   25
 1965  703   22
 1966  667   22
 1967  670   23
 1968  677   22
 1969  686   27
 1970  656   27
 1971  621   29
 1972  568   26
 1973  528   25
 1974  498   25
 1975  461   21
 1976  438   20
 1977  462   18
 1978  488   17
 1979  519   15
 1980  564   12
 1981  564   10
 1982  628    7
 1983  731    3
 1984  851    3
 1985 1013    2
 1986 1207    0
 1987 1479    0
 1988 1779    0
 1989 2147    0
 1990 2228    0
 1991 2105    0
 1992 2030    0
 1993 1945    0
 1994 1847    0
 1995 1687    0
 1996 1516    0
 1997 1598    0
 1998 2087    0
 1999 2555    0
 2000 2394    0
 2001 2195    0
 2002 2151    0
 2003 2152    0
 2004 2151    0
 2005 2008    0
 2006 1739    0
 2007 1453    0
 2008 1322    0
 2009 1231    0
 2010 1316    0
 2011 1693    0
 2012 2076    0
 2013 2405    0
 2014 2256    0
 2015 2110    0
 2016 2072    0
 2017 2092    0
 2018 1959    0
