Year   Moose  Wolves
 1959  649   20
 1960  680   30
 1961  618   29
 1962  649   28
 1963  640   31
 1964  609   34
 1965  576   33
 1966  562   31
 1967  551   26
 1968  612   25
 1969  617   17
 1970  674   17
 1971  754   12
 1972  814    9
 1973  930    8
 1974 1077    4
 1975 1252    3
 1976 1449    2
 1977 1708    2
 1978 2027    1
 1979 2409    1
 1980 2419    1
 1981 2246    1
 1982 2145    1
 1983 2091    1
 1984 2000    0
 1985 1859    0
 1986 1641    0
 1987 1357    0
 1988 1461    0
 1989 1951    0
 1990 2391    0
 1991 2265    0
 1992 2090    0
 1993 2053    0
 1994 2064    0
 1995 2065    0
 1996 1844    0
 1997 1949    0
 1998 2512    0
 1999 2374    0
 2000 2115    0
 2001 1994    0
 2002 1997    0
 2003 1994    0
 2004 2002    0
 2005 1741    0
 2006 1833    0
 2007 2384    0
 2008 2303    0
 2009 2071    0
 2010 1984    0
 2011 1937    0
 2012 1929    0
 2013 1951    0
 2014 2081    0
 2015 2681    0
 2016 2529    0
 2017 2301    0
 2018 2249    0
