Year   Moose  Wolves
 1959  619   20
 1960  628   27
 1961  625   33
 1962  569   31
 1963  561   29
 1964  529   28
 1965  503   28
 1966  449   28
 1967  428   26
 1968  401   22
 1969  355   20
 1970  290   19
 1971  273   11
 1972  269    8
 1973  274    6
 1974  310    6
 1975  324    5
 1976  355    5
 1977  381    3
 1978  428    2
 1979  504    1
 1980  568    1
 1981  679    0
 1982  844    0
 1983 1008    0
 1984 1200    0
 1985 1437    0
 1986 1712    0
 1987 2036    0
 1988 2442    0
 1989 2490    0
 1990 2298    0
 1991 2228    0
 1992 2140    0
 1993 2019    0
 1994 1838    0
 1995 1645    0
 1996 1311    0
 1997 1138    0
 1998 1225    0
 1999 1551    0
 2000 1887    0
 2001 2230    0
 2002 2113    0
 2003 1940    0
 2004 1922    0
 2005 1922    0
 2006 1801    0
 2007 1658    0
 2008 1750    0
 2009 2240    0
 2010 2126    0
 2011 1923    0
 2012 1829    0
 2013 1831    0
 2014 1812    0
 2015 1794    0
 2016 1885    0
 2017 2502    0
 2018 2361    0
