Year   Moose  Wolves
 1959  733   20
 1960  772   21
 1961  816   24
 1962  835   25
 1963  833   34
 1964  822   36
 1965  784   39
 1966  711   38
 1967  669   37
 1968  573   37
 1969  488   31
 1970  444   27
 1971  373   25
 1972  351   22
 1973  298   21
 1974  287   17
 1975  250   14
 1976  231    5
 1977  258    4
 1978  302    3
 1979  334    3
 1980  413    2
 1981  487    1
 1982  584    1
 1983  674    1
 1984  798    1
 1985  952    1
 1986 1138    0
 1987 1369    0
 1988 1646    0
 1989 1976    0
 1990 2379    0
 1991 2378    0
 1992 2218    0
 1993 2130    0
 1994 2104    0
 1995 1968    0
 1996 1818    0
 1997 1591    0
 1998 1319    0
 1999 1187    0
 2000 1257    0
 2001 1581    0
 2002 1971    0
 2003 2331    0
 2004 2245    0
 2005 2104    0
 2006 2060    0
 2007 2101    0
 2008 2004    0
 2009 1827    0
 2010 1622    0
 2011 1327    0
 2012 1196    0
 2013 1274    0
 2014 1667    0
 2015 2030    0
 2016 2401    0
 2017 2378    0
 2018 2222    0
