Year   Moose  Wolves
 1959  540   20
 1960  556   22
 1961  513   21
 1962  520   20
 1963  517   25
 1964  531   26
 1965  547   29
 1966  502   26
 1967  457   24
 1968  430   19
 1969  408   20
 1970  432   18
 1971  384   19
 1972  379   20
 1973  352   19
 1974  355   17
 1975  322   15
 1976  298   13
 1977  307   11
 1978  338   13
 1979  341   13
 1980  362   12
 1981  393   10
 1982  438    7
 1983  489    3
 1984  582    2
 1985  684    2
 1986  812    2
 1987  994    2
 1988 1178    2
 1989 1396    0
 1990 1705    0
 1991 2045    0
 1992 2491    0
 1993 2557    0
 1994 2410    0
 1995 2340    0
 1996 2327    0
 1997 2215    0
 1998 2058    0
 1999 1834    0
 2000 1522    0
 2001 1362    0
 2002 1283    0
 2003 1356    0
 2004 1714    0
 2005 2170    0
 2006 2053    0
 2007 1868    0
 2008 1837    0
 2009 1840    0
 2010 1874    0
 2011 2011    0
 2012 2681    0
 2013 2499    0
 2014 2237    0
 2015 2153    0
 2016 2152    0
 2017 2153    0
 2018 2165    0
