Year   Moose  Wolves
 1959  724   20
 1960  738   19
 1961  727   18
 1962  768   18
 1963  825   22
 1964  820   23
 1965  871   25
 1966  878   38
 1967  777   40
 1968  746   33
 1969  701   34
 1970  646   35
 1971  568   33
 1972  473   34
 1973  457   33
 1974  386   31
 1975  342   27
 1976  302   22
 1977  257   19
 1978  205   13
 1979  192   12
 1980  168   10
 1981  150    9
 1982  132    7
 1983  137    4
 1984  139    5
 1985  132    4
 1986  139    2
 1987  168    2
 1988  185    2
 1989  204    1
 1990  230    1
 1991  273    1
 1992  319    1
 1993  378    1
 1994  447    1
 1995  541    1
 1996  623    1
 1997  739    1
 1998  898    1
 1999 1060    1
 2000 1258    0
 2001 1512    0
 2002 1829    0
 2003 2199    0
 2004 2268    0
 2005 2126    0
 2006 2019    0
 2007 1965    0
 2008 1836    0
 2009 1694    0
 2010 1505    0
 2011 1578    0
 2012 2039    0
 2013 2519    0
 2014 2366    0
 2015 2178    0
 2016 2118    0
 2017 2149    0
 2018 2160    0
