Year   Moose  Wolves
 1959  770   20
 1960  792   22
 1961  780   29
 1962  767   31
 1963  732   37
 1964  689   36
 1965  667   38
 1966  692   38
 1967  660   31
 1968  582   32
 1969  493   26
 1970  466   25
 1971  443   20
 1972  422   22
 1973  385   19
 1974  362   14
 1975  354   14
 1976  351   14
 1977  320   13
 1978  309   14
 1979  309   12
 1980  322   10
 1981  314    9
 1982  313    7
 1983  342    7
 1984  373    5
 1985  431    5
 1986  477    4
 1987  562    4
 1988  682    3
 1989  796    3
 1990  938    3
 1991 1126    3
 1992 1335    2
 1993 1600    2
 1994 1884    1
 1995 2278    1
 1996 2302    1
 1997 2195    0
 1998 2107    0
 1999 2047    0
 2000 1910    0
 2001 1766    0
 2002 1584    0
 2003 1352    0
 2004 1415    0
 2005 1810    0
 2006 2233    0
 2007 2042    0
 2008 1835    0
 2009 1744    0
 2010 1697    0
 2011 1700    0
 2012 1801    0
 2013 2378    0
 2014 2234    0
 2015 2004    0
 2016 1915    0
 2017 1898    0
 2018 1913    0
