Year   Moose  Wolves
 1959  737   20
 1960  750   26
 1961  750   32
 1962  723   31
 1963  802   30
 1964  811   27
 1965  889   32
 1966  897   31
 1967  875   35
 1968  889   38
 1969  847   37
 1970  808   38
 1971  732   36
 1972  772   35
 1973  784   38
 1974  754   42
 1975  733   39
 1976  670   36
 1977  618   34
 1978  609   31
 1979  514   27
 1980  522   29
 1981  452   25
 1982  407   21
 1983  378   13
 1984  434   14
 1985  475   20
 1986  510   19
 1987  558   18
 1988  617   19
 1989  625   22
 1990  661   22
 1991  677   25
 1992  671   23
 1993  722   26
 1994  741   36
 1995  743   33
 1996  699   30
 1997  725   29
 1998  711   31
 1999  677   29
 2000  629   28
 2001  584   25
 2002  553   22
 2003  544   23
 2004  576   27
 2005  576   25
 2006  598   22
 2007  638   18
 2008  645   17
 2009  686   14
 2010  757   17
 2011  823   19
 2012  917   18
 2013 1008   17
 2014 1166   19
 2015 1292   14
 2016 1508   12
 2017 1739   13
 2018 2062   12
