Year   Moose  Wolves
 1959  654   20
 1960  731   21
 1961  779   17
 1962  839   16
 1963  896   17
 1964  950   15
 1965 1023   13
 1966 1164   14
 1967 1300   17
 1968 1467   23
 1969 1681   21
 1970 1896   23
 1971 2144   21
 1972 2057   21
 1973 1831   21
 1974 1692   20
 1975 1586   17
 1976 1441   14
 1977 1427   12
 1978 1718   10
 1979 2050   10
 1980 2410    6
 1981 2304    5
 1982 2103    8
 1983 2056    7
 1984 2046    6
 1985 1894    6
 1986 1681    6
 1987 1419    6
 1988 1437    5
 1989 1825    5
 1990 2213    4
 1991 2050    2
 1992 1877    2
 1993 1810    2
 1994 1782    1
 1995 1796    0
 1996 1918    0
 1997 2528    0
 1998 2278    0
 1999 2099    0
 2000 2056    0
 2001 2064    0
 2002 2057    0
 2003 2088    0
 2004 2187    0
 2005 2073    0
 2006 1841    0
 2007 1728    0
 2008 1717    0
 2009 1668    0
 2010 1779    0
 2011 2389    0
 2012 2254    0
 2013 2014    0
 2014 1959    0
 2015 1926    0
 2016 1933    0
 2017 1935    0
 2018 2063    0
