Year   Moose  Wolves
 1959  580   20
 1960  587   19
 1961  619   19
 1962  632   23
 1963  585   25
 1964  543   29
 1965  513   28
 1966  467   26
 1967  376   26
 1968  350   23
 1969  352   20
 1970  358   19
 1971  370   18
 1972  368   19
 1973  361   19
 1974  370   18
 1975  329   13
 1976  311   12
 1977  288   11
 1978  319   10
 1979  348    8
 1980  381    8
 1981  394    8
 1982  442    7
 1983  491    5
 1984  578    5
 1985  670    2
 1986  793    1
 1987  952    1
 1988 1140    1
 1989 1375    1
 1990 1633    1
 1991 1927    1
 1992 2308    1
 1993 2343    1
 1994 2223    1
 1995 2150    0
 1996 2085    0
 1997 2007    0
 1998 1832    0
 1999 1606    0
 2000 1334    0
 2001 1415    0
 2002 1882    0
 2003 2324    0
 2004 2168    0
 2005 1986    0
 2006 1931    0
 2007 1966    0
 2008 1990    0
 2009 1770    0
 2010 1875    0
 2011 2423    0
 2012 2287    0
 2013 2088    0
 2014 1967    0
 2015 1945    0
 2016 1916    0
 2017 1904    0
 2018 2024    0
