Year   Moose  Wolves
 1959  650   20
 1960  737   24
 1961  742   28
 1962  706   32
 1963  644   32
 1964  604   33
 1965  629   27
 1966  678   27
 1967  693   33
 1968  675   28
 1969  651   28
 1970  587   28
 1971  538   28
 1972  517   23
 1973  549   20
 1974  572   23
 1975  579   32
 1976  534   34
 1977  496   33
 1978  418   30
 1979  402   26
 1980  306   26
 1981  213   24
 1982  134   24
 1983   74   22
 1984   27   23
 1985   36   19
 1986    2   12
 1987    0    5
 1988    0    4
 1989    0    3
 1990    0    2
 1991    0    2
 1992    0    2
 1993    0    1
 1994    0    1
 1995    0    0
 1996    0    0
 1997    0    0
 1998    0    0
 1999    0    0
 2000    0    0
 2001    0    0
 2002    0    0
 2003    0    0
 2004    0    0
 2005    0    0
 2006    0    0
 2007    0    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
