Year   Moose  Wolves
 1959  721   20
 1960  734   22
 1961  763   28
 1962  788   31
 1963  761   32
 1964  726   39
 1965  663   37
 1966  712   35
 1967  676   33
 1968  634   34
 1969  666   33
 1970  609   30
 1971  578   27
 1972  559   24
 1973  520   17
 1974  510   18
 1975  530   16
 1976  566   17
 1977  586   20
 1978  601   19
 1979  637   19
 1980  703   18
 1981  756   17
 1982  859   17
 1983  973   17
 1984 1107   23
 1985 1201   26
 1986 1355   30
 1987 1511   31
 1988 1631   29
 1989 1746   30
 1990 1967   40
 1991 2236   49
 1992 2077   59
 1993 1704   61
 1994 1478   59
 1995 1213   54
 1996  915   53
 1997  572   46
 1998  490   39
 1999  323   34
 2000  200   32
 2001  153   25
 2002  100   23
 2003   49   16
 2004   34   10
 2005   46    7
 2006   28    5
 2007   15    3
 2008    7    3
 2009    2    1
 2010    2    1
 2011    2    0
 2012    2    0
 2013    2    0
 2014    2    0
 2015    2    0
 2016    2    0
 2017    2    0
 2018    2    0
