Year   Moose  Wolves
 1959  666   20
 1960  642   24
 1961  607   34
 1962  608   36
 1963  552   35
 1964  509   35
 1965  462   32
 1966  449   27
 1967  384   24
 1968  375   19
 1969  366   18
 1970  347   16
 1971  355   16
 1972  339   14
 1973  346   11
 1974  350   10
 1975  379   12
 1976  386   10
 1977  406   10
 1978  427    9
 1979  474    8
 1980  532   14
 1981  544   13
 1982  568    9
 1983  637    9
 1984  719    9
 1985  820    9
 1986  915    6
 1987 1080    5
 1988 1262    5
 1989 1503    3
 1990 1805    2
 1991 2176    1
 1992 2242    1
 1993 2126    0
 1994 2061    0
 1995 2010    0
 1996 1907    0
 1997 1773    0
 1998 1575    0
 1999 1662    0
 2000 2179    0
 2001 2123    0
 2002 1915    0
 2003 1842    0
 2004 1804    0
 2005 1798    0
 2006 1814    0
 2007 1922    0
 2008 2520    0
 2009 2395    0
 2010 2178    0
 2011 2087    0
 2012 2062    0
 2013 2068    0
 2014 2064    0
 2015 1783    0
 2016 1891    0
 2017 2464    0
 2018 2396    0
