Year   Moose  Wolves
 1959  847   20
 1960  935   24
 1961  975   26
 1962 1049   27
 1963 1046   31
 1964 1059   31
 1965 1176   35
 1966 1236   36
 1967 1335   39
 1968 1373   39
 1969 1423   39
 1970 1548   37
 1971 1642   37
 1972 1737   40
 1973 1875   41
 1974 1999   39
 1975 2150   39
 1976 1959   35
 1977 1726   31
 1978 1553   31
 1979 1399   26
 1980 1211   22
 1981 1096   21
 1982 1191   22
 1983 1319   17
 1984 1527   16
 1985 1772   14
 1986 2025   14
 1987 2303   14
 1988 2270   14
 1989 2088   15
 1990 1922   12
 1991 1778   10
 1992 1610    9
 1993 1404    8
 1994 1402    5
 1995 1809    4
 1996 2212    6
 1997 2020    5
 1998 1823    5
 1999 1750    5
 2000 1765    4
 2001 1778    4
 2002 1859    3
 2003 2413    3
 2004 2163    1
 2005 1960    1
 2006 1890    1
 2007 1927    0
 2008 1935    0
 2009 1919    0
 2010 2046    0
 2011 2647    0
 2012 2511    0
 2013 2263    0
 2014 2198    0
 2015 2201    0
 2016 2210    0
 2017 2208    0
 2018 1945    0
