Year   Moose  Wolves
 1959  667   20
 1960  762   22
 1961  796   24
 1962  808   27
 1963  844   27
 1964  881   27
 1965  900   26
 1966 1022   26
 1967 1129   24
 1968 1300   19
 1969 1447   16
 1970 1715   16
 1971 2011   14
 1972 2369   11
 1973 2322    6
 1974 2148    5
 1975 2020    5
 1976 1943    4
 1977 1816    3
 1978 1659    3
 1979 1455    2
 1980 1513    2
 1981 1942    2
 1982 2341    2
 1983 2212    1
 1984 2017    0
 1985 1958    0
 1986 1941    0
 1987 1966    0
 1988 1769    0
 1989 1881    0
 1990 2438    0
 1991 2377    0
 1992 2167    0
 1993 2050    0
 1994 2084    0
 1995 2021    0
 1996 1986    0
 1997 1724    0
 1998 1835    0
 1999 2395    0
 2000 2403    0
 2001 2155    0
 2002 2042    0
 2003 2010    0
 2004 2002    0
 2005 1984    0
 2006 1717    0
 2007 1786    0
 2008 2288    0
 2009 2191    0
 2010 1982    0
 2011 1873    0
 2012 1866    0
 2013 1825    0
 2014 1794    0
 2015 1881    0
 2016 2470    0
 2017 2316    0
 2018 2110    0
