Year   Moose  Wolves
 1959  730   20
 1960  825   21
 1961  884   24
 1962  905   28
 1963  946   28
 1964  951   25
 1965  989   22
 1966 1091   21
 1967 1236   18
 1968 1404   19
 1969 1581   18
 1970 1813   17
 1971 2113   18
 1972 2069   20
 1973 1856   17
 1974 1709   13
 1975 1579   14
 1976 1462   14
 1977 1470   13
 1978 1831   14
 1979 2151   12
 1980 1964   11
 1981 1781    9
 1982 1716   11
 1983 1688    8
 1984 1663    6
 1985 1752    4
 1986 2304    4
 1987 2010    4
 1988 1799    6
 1989 1748    6
 1990 1734    6
 1991 1721    6
 1992 1814    8
 1993 2349   11
 1994 2056   10
 1995 1834    9
 1996 1735   12
 1997 1689   11
 1998 1627   11
 1999 1690   10
 2000 2171    9
 2001 1924   11
 2002 1648   10
 2003 1552   10
 2004 1509    9
 2005 1497    7
 2006 1560    6
 2007 1961    6
 2008 2437    5
 2009 2200    5
 2010 2017    4
 2011 1984    4
 2012 1968    3
 2013 2002    2
 2014 1826    2
 2015 1920    2
 2016 2462    2
 2017 2298    2
 2018 2056    1
