Year   Moose  Wolves
 1959  619   20
 1960  634   22
 1961  623   23
 1962  563   26
 1963  554   24
 1964  587   21
 1965  600   20
 1966  651   19
 1967  724   16
 1968  714   17
 1969  795   16
 1970  832   14
 1971  879   12
 1972  978   12
 1973 1115    9
 1974 1263   10
 1975 1474    9
 1976 1725    7
 1977 2038    4
 1978 2419    5
 1979 2421    4
 1980 2287    3
 1981 2177    3
 1982 2086    3
 1983 1940    3
 1984 1759    1
 1985 1536    1
 1986 1279    1
 1987 1339    1
 1988 1710    1
 1989 2096    1
 1990 2421    1
 1991 2303    1
 1992 2107    0
 1993 2064    0
 1994 2097    0
 1995 1988    0
 1996 1790    0
 1997 1614    0
 1998 1706    0
 1999 2203    0
 2000 2189    0
 2001 1967    0
 2002 1871    0
 2003 1829    0
 2004 1776    0
 2005 1760    0
 2006 1878    0
 2007 2395    0
 2008 2275    0
 2009 2033    0
 2010 1954    0
 2011 1920    0
 2012 1932    0
 2013 1912    0
 2014 2028    0
 2015 2659    0
 2016 2450    0
 2017 2213    0
 2018 2124    0
