Year   Moose  Wolves
 1959  562   20
 1960  636   22
 1961  603   25
 1962  634   25
 1963  666   29
 1964  672   31
 1965  648   36
 1966  570   31
 1967  493   28
 1968  439   22
 1969  406   18
 1970  440   15
 1971  463   15
 1972  488   12
 1973  538   13
 1974  584   13
 1975  639   11
 1976  696    9
 1977  814    9
 1978  912    9
 1979 1112    9
 1980 1288   10
 1981 1504   10
 1982 1751    9
 1983 2102   12
 1984 2118   11
 1985 1991    8
 1986 1875   10
 1987 1744   11
 1988 1580   13
 1989 1424   11
 1990 1399   10
 1991 1687    9
 1992 2073    9
 1993 2395    9
 1994 2205    8
 1995 2036    5
 1996 1997    5
 1997 2051    5
 1998 1920    4
 1999 1690    1
 2000 1801    1
 2001 2323    1
 2002 2237    1
 2003 2048    1
 2004 1951    1
 2005 1928    1
 2006 1942    0
 2007 1908    0
 2008 2038    0
 2009 2690    0
 2010 2522    0
 2011 2279    0
 2012 2185    0
 2013 2185    0
 2014 2217    0
 2015 2234    0
 2016 1877    0
 2017 1423    0
 2018 1275    0
